Distance,High (GFP),High (TS1),High(TS2),Low (GFP),Low (TS1),Low (TS2)
1.221055264,0.932287886,0.659515538,0.747153668,0.930257099,0.652051102,0.704311614
1.223055764,0.931823086,0.658802712,0.747961922,0.930464193,0.651334659,0.705343305
1.225056264,0.931354844,0.658090073,0.748771777,0.930671238,0.650619619,0.706375316
1.227056764,0.93088502,0.657377839,0.749581338,0.930879401,0.649905173,0.707408059
1.229057264,0.930414601,0.656665669,0.750390906,0.931086875,0.649191243,0.708440864
1.231057764,0.929943458,0.655953824,0.75120196,0.931291783,0.64847831,0.709471986
1.233058265,0.929468086,0.655242856,0.752014162,0.931498246,0.647766214,0.710503511
1.235058765,0.928989433,0.654532583,0.752826474,0.931704963,0.647054128,0.711536123
1.237059265,0.928509957,0.653823185,0.753638357,0.931910929,0.646342466,0.712568237
1.239059765,0.928029015,0.65311462,0.754449548,0.932119106,0.645631812,0.713599427
1.241060265,0.927545971,0.652405733,0.755261864,0.932327301,0.64492151,0.714631367
1.243060765,0.927062227,0.651697971,0.756075777,0.93253512,0.644212399,0.715664644
1.245061265,0.926576362,0.650990898,0.756890012,0.93274348,0.64350489,0.716696827
1.247061765,0.926089089,0.650283421,0.757704637,0.932951108,0.642797276,0.717729332
1.249062266,0.925601636,0.649577024,0.75852115,0.933158255,0.642090012,0.718761518
1.251062766,0.925114102,0.648871246,0.759338728,0.933365296,0.641383432,0.719794507
1.253063266,0.92462589,0.648165699,0.760157415,0.933573521,0.640677193,0.720828435
1.255063766,0.92413374,0.647460593,0.760976528,0.93378114,0.639972858,0.721860411
1.257064266,0.923639734,0.646755716,0.761795734,0.93398964,0.639269405,0.722892557
1.259064766,0.923144802,0.646050512,0.762615604,0.934198683,0.638565861,0.723924834
1.261065266,0.922648269,0.645346231,0.763435815,0.934406127,0.637862992,0.724957738
1.263065766,0.922144826,0.644643469,0.764254935,0.934613406,0.637161468,0.725989757
1.265066267,0.921636625,0.643940894,0.765075341,0.934820618,0.63646052,0.727022759
1.267066767,0.921128563,0.643238668,0.765896037,0.935029904,0.635760681,0.728055231
1.269067267,0.92061995,0.642536761,0.766718013,0.935242247,0.635061115,0.729087913
1.271067767,0.920111746,0.641835994,0.767540213,0.935454645,0.634361915,0.730121656
1.273068267,0.919603152,0.641135637,0.76836311,0.935665757,0.633662794,0.731155056
1.275068767,0.919092915,0.640435117,0.769187549,0.935873851,0.632964165,0.732187254
1.277069267,0.918581153,0.639734386,0.770013429,0.936079793,0.632267067,0.733219837
1.279069767,0.918068022,0.639034042,0.770839753,0.936285411,0.631572004,0.734251387
1.281070268,0.917553719,0.638334439,0.771665891,0.93649352,0.630877297,0.735283373
1.283070768,0.917036935,0.637633983,0.772493223,0.936702383,0.630182652,0.736314804
1.285071268,0.916515654,0.636934128,0.773322179,0.936912609,0.629488512,0.737345733
1.287071768,0.91599366,0.636234813,0.774151858,0.937124089,0.628794388,0.738378722
1.289072268,0.915470213,0.635536982,0.774980105,0.937335607,0.628101982,0.73941173
1.291072768,0.914944402,0.634840377,0.775807479,0.937544951,0.627410335,0.740444048
1.293073268,0.914417318,0.634143831,0.776635514,0.937752687,0.626719113,0.741475979
1.295073768,0.913885828,0.633447486,0.777466687,0.937958817,0.626027972,0.742507238
1.297074269,0.913354558,0.632751428,0.778298615,0.938165568,0.62533683,0.743539835
1.299074769,0.912822552,0.632055394,0.77913097,0.938375723,0.624646699,0.74457267
1.301075269,0.912289535,0.631359235,0.779963885,0.93858773,0.623958753,0.745603132
1.303075769,0.911755254,0.630663242,0.780797376,0.938797863,0.623271903,0.746632498
1.305076269,0.911216554,0.629968413,0.781632723,0.939006621,0.622584761,0.747662615
1.307076769,0.910675388,0.629273904,0.782467168,0.939214464,0.62189807,0.748694519
1.309077269,0.910132973,0.628579393,0.783301609,0.939422779,0.621211629,0.749726403
1.311077769,0.909590692,0.627884971,0.784137412,0.939630927,0.620526238,0.750758055
1.31307827,0.909048594,0.627191055,0.784974131,0.939838492,0.619842411,0.751788662
1.31507877,0.908503216,0.626497868,0.785811712,0.940047372,0.619159271,0.75281713
1.31707927,0.907954126,0.625804861,0.786648676,0.94025753,0.618476565,0.753846855
1.31907977,0.907404679,0.625112037,0.787486526,0.940466511,0.617794057,0.754877588
1.32108027,0.9068557,0.62441894,0.788325615,0.940675242,0.617111701,0.755907681
1.32308077,0.906304557,0.62372705,0.789164968,0.940884972,0.616429593,0.756938143
1.32508127,0.905747481,0.623035318,0.790005307,0.941093427,0.615748262,0.757967954
1.32708177,0.905188398,0.622343645,0.790845476,0.941299268,0.615068619,0.758997341
1.329082271,0.904627668,0.621652313,0.791686961,0.941505599,0.614389753,0.760027424
1.331082771,0.904066152,0.620961436,0.792528551,0.941713718,0.613711511,0.761056438
1.333083271,0.903504847,0.620270968,0.793369786,0.941921621,0.613033536,0.762085555
1.335083771,0.902940818,0.61958013,0.794212695,0.942128041,0.612356876,0.763112078
1.337084271,0.90237666,0.61888937,0.795056557,0.942334441,0.611680416,0.764138524
1.339084771,0.901812385,0.618198667,0.795901893,0.942540535,0.611004453,0.765166777
1.341085271,0.901246272,0.617509182,0.796747876,0.94274703,0.6103286,0.766195784
1.343085771,0.900679015,0.616820262,0.797593794,0.942954421,0.609653042,0.767224648
